FLT_NUM,DD,B,C,D,E,G,H,I,J,K,L,M,N,O,P,Q,R,T,U,V,X,Y,Z,CT,YT,TT,SORG,SDST,DemCluster,HLDate,HCBuy
1139,2018-01-03,0.0,0.0,10.0,24.0,0.0,4.0,0.0,0.0,2.0,7.0,0.0,45.0,1.0,0.0,27.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,11.0,125.0,136.0,AER,SVO,1,28,1
1121,2018-01-03,0.0,1.0,3.0,17.0,0.0,2.0,0.0,2.0,2.0,9.0,0.0,2.0,4.0,0.0,10.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,10.0,60.0,70.0,AER,SVO,1,62,1
1123,2018-01-03,0.0,0.0,5.0,27.0,0.0,3.0,0.0,4.0,0.0,12.0,2.0,35.0,5.0,0.0,30.0,0.0,30.0,0.0,0.0,6.0,0.0,0.0,14.0,145.0,159.0,AER,SVO,2,54,1
1125,2018-01-03,1.0,3.0,4.0,15.0,0.0,7.0,0.0,2.0,0.0,27.0,0.0,28.0,4.0,0.0,35.0,0.0,38.0,0.0,0.0,7.0,0.0,0.0,13.0,158.0,171.0,AER,SVO,2,50,1
1130,2018-01-03,0.0,0.0,5.0,33.0,0.0,9.0,1.0,1.0,1.0,11.0,6.0,13.0,10.0,0.0,19.0,0.0,30.0,0.0,0.0,11.0,2.0,0.0,17.0,135.0,152.0,SVO,AER,1,26,0
1131,2018-01-03,1.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,78.0,1.0,0.0,7.0,1.0,14.0,0.0,0.0,2.0,2.0,0.0,1.0,124.0,125.0,AER,SVO,1,15,0
1138,2018-01-03,3.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.0,57.0,3.0,0.0,6.0,0.0,44.0,0.0,9.0,3.0,0.0,10.0,0.0,0.0,11.0,135.0,146.0,SVO,AER,2,34,1
1175,2018-01-03,0.0,0.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,41.0,0.0,0.0,20.0,0.0,25.0,2.0,0.0,6.0,0.0,0.0,0.0,126.0,126.0,ASF,SVO,1,45,1
1174,2018-01-03,0.0,0.0,0.0,30.0,0.0,1.0,5.0,0.0,0.0,4.0,0.0,48.0,2.0,0.0,14.0,0.0,26.0,0.0,0.0,6.0,0.0,0.0,7.0,129.0,136.0,SVO,ASF,1,48,1
1122,2018-01-03,1.0,5.0,2.0,0.0,1.0,37.0,0.0,4.0,9.0,60.0,5.0,11.0,4.0,0.0,23.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,15.0,159.0,174.0,SVO,AER,2,61,1
1127,2018-01-03,0.0,0.0,2.0,32.0,0.0,1.0,0.0,0.0,4.0,9.0,0.0,39.0,8.0,0.0,23.0,0.0,18.0,0.0,0.0,7.0,0.0,0.0,10.0,133.0,143.0,AER,SVO,2,40,1
1642,2018-01-03,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,68.0,68.0,SVO,ASF,0,51,1
1124,2018-01-03,3.0,4.0,0.0,0.0,27.0,27.0,0.0,10.0,2.0,56.0,4.0,2.0,2.0,0.0,25.0,0.0,0.0,8.0,0.0,5.0,2.0,0.0,16.0,161.0,177.0,SVO,AER,2,55,1
1141,2018-01-03,0.0,0.0,6.0,39.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,59.0,1.0,0.0,2.0,4.0,35.0,0.0,0.0,10.0,0.0,0.0,7.0,154.0,161.0,AER,SVO,2,72,1
1643,2018-01-03,0.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,25.0,0.0,0.0,5.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0,1.0,63.0,64.0,ASF,SVO,0,103,1
1120,2018-01-03,0.0,4.0,2.0,0.0,15.0,1.0,0.0,0.0,0.0,18.0,1.0,15.0,4.0,0.0,12.0,0.0,4.0,2.0,0.0,6.0,1.0,0.0,10.0,75.0,85.0,SVO,AER,1,23,0
1135,2018-01-03,0.0,3.0,6.0,13.0,0.0,3.0,0.0,4.0,1.0,28.0,1.0,29.0,6.0,0.0,30.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,19.0,129.0,148.0,AER,SVO,1,58,1
1134,2018-01-03,2.0,8.0,3.0,0.0,1.0,19.0,0.0,6.0,6.0,44.0,22.0,0.0,1.0,0.0,5.0,0.0,0.0,27.0,0.0,4.0,3.0,0.0,18.0,133.0,151.0,SVO,AER,1,68,1
1121,2018-01-04,0.0,0.0,5.0,0.0,0.0,21.0,0.0,0.0,2.0,10.0,0.0,13.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,67.0,72.0,AER,SVO,1,100,1
1127,2018-01-04,0.0,0.0,7.0,14.0,0.0,7.0,0.0,1.0,1.0,34.0,0.0,15.0,6.0,0.0,39.0,0.0,6.0,0.0,0.0,11.0,1.0,0.0,14.0,128.0,142.0,AER,SVO,2,78,1
1173,2018-01-04,0.0,0.0,0.0,32.0,0.0,3.0,0.0,0.0,1.0,10.0,2.0,38.0,0.0,0.0,25.0,0.0,31.0,0.0,0.0,5.0,0.0,0.0,0.0,147.0,147.0,ASF,SVO,2,47,1
1139,2018-01-04,0.0,0.0,5.0,16.0,0.0,16.0,0.0,2.0,1.0,49.0,1.0,11.0,6.0,0.0,19.0,0.0,14.0,0.0,0.0,7.0,0.0,2.0,15.0,134.0,149.0,AER,SVO,2,66,1
1643,2018-01-04,0.0,0.0,0.0,24.0,0.0,8.0,0.0,4.0,0.0,7.0,3.0,79.0,0.0,0.0,6.0,0.0,17.0,2.0,0.0,3.0,0.0,0.0,4.0,149.0,153.0,ASF,SVO,2,13,0
1123,2018-01-04,0.0,0.0,5.0,18.0,0.0,22.0,0.0,1.0,6.0,33.0,0.0,19.0,5.0,0.0,28.0,0.0,22.0,4.0,0.0,5.0,0.0,0.0,11.0,157.0,168.0,AER,SVO,2,80,1
1131,2018-01-04,0.0,0.0,1.0,30.0,0.0,1.0,1.0,1.0,0.0,15.0,1.0,33.0,3.0,0.0,22.0,0.0,21.0,0.0,0.0,5.0,0.0,1.0,7.0,128.0,135.0,AER,SVO,1,35,1
1124,2018-01-04,0.0,4.0,4.0,11.0,11.0,11.0,0.0,5.0,10.0,29.0,8.0,20.0,2.0,0.0,40.0,0.0,8.0,6.0,0.0,5.0,4.0,0.0,15.0,163.0,178.0,SVO,AER,2,52,1
1130,2018-01-04,0.0,0.0,3.0,41.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,48.0,8.0,0.0,15.0,0.0,21.0,1.0,0.0,4.0,0.0,0.0,12.0,138.0,150.0,SVO,AER,1,19,0
1175,2018-01-04,0.0,0.0,0.0,29.0,0.0,10.0,1.0,0.0,1.0,20.0,0.0,44.0,0.0,0.0,11.0,0.0,6.0,0.0,0.0,5.0,1.0,0.0,1.0,127.0,128.0,ASF,SVO,1,57,1
1141,2018-01-04,0.0,4.0,0.0,22.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,49.0,6.0,0.0,17.0,0.0,30.0,0.0,0.0,17.0,0.0,0.0,10.0,148.0,158.0,AER,SVO,2,96,1
1138,2018-01-04,1.0,0.0,6.0,26.0,0.0,10.0,0.0,1.0,3.0,4.0,1.0,22.0,8.0,2.0,34.0,0.0,24.0,0.0,0.0,8.0,0.0,0.0,15.0,135.0,150.0,SVO,AER,2,22,0
1174,2018-01-04,1.0,0.0,0.0,28.0,0.0,10.0,0.0,0.0,4.0,5.0,0.0,41.0,1.0,0.0,18.0,0.0,22.0,0.0,0.0,5.0,1.0,0.0,1.0,135.0,136.0,SVO,ASF,1,50,1
1128,2018-01-04,0.0,0.0,6.0,29.0,0.0,8.0,0.0,0.0,7.0,10.0,2.0,33.0,8.0,0.0,25.0,0.0,35.0,1.0,0.0,11.0,0.0,0.0,14.0,161.0,175.0,SVO,AER,1,20,0
1125,2018-01-04,0.0,0.0,5.0,9.0,0.0,21.0,0.0,2.0,0.0,32.0,1.0,16.0,5.0,0.0,32.0,0.0,22.0,2.0,0.0,8.0,2.0,0.0,12.0,145.0,157.0,AER,SVO,1,80,1
1642,2018-01-04,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,112.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,7.0,145.0,152.0,SVO,ASF,2,13,0
1135,2018-01-04,0.0,7.0,5.0,16.0,0.0,3.0,0.0,3.0,1.0,32.0,0.0,8.0,2.0,0.0,34.0,0.0,14.0,12.0,0.0,6.0,0.0,0.0,17.0,126.0,143.0,AER,SVO,1,100,1
1126,2018-01-04,0.0,3.0,3.0,23.0,0.0,9.0,2.0,6.0,2.0,9.0,2.0,11.0,4.0,0.0,34.0,0.0,29.0,2.0,0.0,9.0,0.0,0.0,18.0,130.0,148.0,SVO,AER,2,39,1
1120,2018-01-04,0.0,0.0,2.0,6.0,0.0,5.0,0.0,1.0,0.0,6.0,1.0,22.0,6.0,0.0,15.0,0.0,8.0,2.0,0.0,6.0,1.0,0.0,9.0,72.0,81.0,SVO,AER,1,34,1
1129,2018-01-04,0.0,2.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,37.0,6.0,0.0,22.0,0.0,24.0,1.0,0.0,6.0,0.0,0.0,9.0,136.0,145.0,AER,SVO,1,29,1
1140,2018-01-04,0.0,5.0,3.0,35.0,0.0,2.0,0.0,2.0,2.0,5.0,1.0,37.0,4.0,0.0,24.0,0.0,33.0,2.0,0.0,19.0,0.0,0.0,14.0,160.0,174.0,SVO,AER,2,21,0
1172,2018-01-04,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,70.0,0.0,0.0,3.0,0.0,25.0,1.0,0.0,6.0,1.0,2.0,2.0,144.0,146.0,SVO,ASF,2,36,1
1122,2018-01-04,1.0,2.0,6.0,26.0,0.0,7.0,0.0,0.0,9.0,37.0,2.0,6.0,5.0,0.0,39.0,0.0,23.0,2.0,0.0,8.0,6.0,0.0,13.0,166.0,179.0,SVO,AER,2,52,1
1134,2018-01-04,6.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,5.0,34.0,1.0,12.0,6.0,0.0,31.0,0.0,15.0,9.0,0.0,5.0,1.0,0.0,12.0,128.0,140.0,SVO,AER,1,75,1
1128,2018-01-05,0.0,0.0,1.0,39.0,0.0,3.0,0.0,0.0,2.0,9.0,3.0,56.0,4.0,0.0,6.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,5.0,142.0,147.0,SVO,AER,1,26,0
1120,2018-01-05,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,42.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,5.0,71.0,76.0,SVO,AER,1,43,1
1122,2018-01-05,0.0,1.0,3.0,30.0,0.0,5.0,0.0,6.0,4.0,8.0,2.0,38.0,2.0,0.0,15.0,0.0,27.0,0.0,0.0,18.0,0.0,0.0,12.0,147.0,159.0,SVO,AER,2,74,1
1130,2018-01-05,0.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,97.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,130.0,137.0,SVO,AER,1,13,0
1175,2018-01-05,0.0,0.0,0.0,19.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,46.0,2.0,0.0,11.0,0.0,15.0,0.0,0.0,11.0,0.0,0.0,2.0,120.0,122.0,ASF,SVO,1,87,1
1141,2018-01-05,0.0,0.0,1.0,37.0,0.0,6.0,0.0,3.0,24.0,13.0,0.0,28.0,3.0,0.0,8.0,0.0,27.0,0.0,0.0,5.0,0.0,0.0,7.0,148.0,155.0,AER,SVO,2,132,1
1138,2018-01-05,0.0,0.0,3.0,45.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,46.0,8.0,0.0,0.0,0.0,16.0,2.0,0.0,11.0,0.0,0.0,11.0,127.0,138.0,SVO,AER,2,39,1
1140,2018-01-05,0.0,0.0,4.0,39.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,77.0,8.0,0.0,6.0,0.0,29.0,0.0,0.0,9.0,0.0,0.0,14.0,167.0,181.0,SVO,AER,2,22,0
1174,2018-01-05,1.0,0.0,0.0,19.0,0.0,7.0,0.0,1.0,5.0,12.0,0.0,36.0,2.0,0.0,24.0,0.0,20.0,0.0,0.0,4.0,3.0,0.0,3.0,131.0,134.0,SVO,ASF,1,71,1
1124,2018-01-05,0.0,2.0,6.0,59.0,0.0,5.0,0.0,4.0,0.0,8.0,0.0,42.0,4.0,0.0,15.0,0.0,20.0,2.0,0.0,9.0,0.0,0.0,16.0,160.0,176.0,SVO,AER,2,59,1
1121,2018-01-05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,13.0,1.0,0.0,17.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,49.0,50.0,AER,SVO,0,144,1
1642,2018-01-05,0.0,0.0,0.0,12.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,31.0,0.0,0.0,2.0,0.0,14.0,1.0,0.0,2.0,0.0,0.0,2.0,68.0,70.0,SVO,ASF,0,66,1
1131,2018-01-05,0.0,0.0,1.0,6.0,0.0,6.0,1.0,0.0,1.0,23.0,0.0,25.0,4.0,0.0,25.0,0.0,31.0,0.0,0.0,17.0,0.0,1.0,7.0,134.0,141.0,AER,SVO,1,65,1
1134,2018-01-05,0.0,3.0,9.0,22.0,0.0,1.0,0.0,1.0,1.0,16.0,1.0,33.0,4.0,0.0,25.0,0.0,18.0,2.0,0.0,11.0,0.0,1.0,18.0,130.0,148.0,SVO,AER,1,59,1
1126,2018-01-05,0.0,1.0,3.0,39.0,0.0,4.0,3.0,5.0,0.0,4.0,4.0,46.0,3.0,0.0,8.0,0.0,15.0,0.0,0.0,6.0,1.0,0.0,15.0,127.0,142.0,SVO,AER,2,46,1
1129,2018-01-05,0.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,1.0,33.0,0.0,34.0,8.0,0.0,25.0,0.0,29.0,1.0,0.0,12.0,0.0,0.0,8.0,159.0,167.0,AER,SVO,1,54,1
1173,2018-01-05,0.0,0.0,0.0,33.0,0.0,2.0,0.0,0.0,1.0,13.0,0.0,40.0,0.0,0.0,25.0,0.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,139.0,139.0,ASF,SVO,1,62,1
1135,2018-01-05,2.0,0.0,5.0,12.0,0.0,8.0,0.0,10.0,14.0,17.0,6.0,10.0,4.0,0.0,26.0,0.0,8.0,22.0,0.0,8.0,3.0,0.0,19.0,136.0,155.0,AER,SVO,1,119,1
1643,2018-01-05,0.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,21.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,67.0,67.0,ASF,SVO,0,93,1
1127,2018-01-05,0.0,5.0,0.0,17.0,0.0,25.0,0.0,4.0,22.0,12.0,0.0,6.0,4.0,0.0,18.0,0.0,13.0,6.0,0.0,5.0,0.0,0.0,13.0,124.0,137.0,AER,SVO,2,116,1
1139,2018-01-05,0.0,0.0,4.0,11.0,0.0,16.0,0.0,0.0,21.0,6.0,3.0,17.0,6.0,0.0,11.0,0.0,21.0,11.0,0.0,4.0,0.0,0.0,10.0,121.0,131.0,AER,SVO,1,105,1
1123,2018-01-05,1.0,3.0,6.0,10.0,0.0,18.0,0.0,4.0,13.0,34.0,5.0,17.0,3.0,0.0,23.0,0.0,16.0,10.0,0.0,5.0,0.0,0.0,16.0,152.0,168.0,AER,SVO,2,116,1
1125,2018-01-05,3.0,0.0,3.0,9.0,0.0,8.0,0.0,8.0,15.0,34.0,6.0,21.0,4.0,0.0,33.0,0.0,9.0,5.0,0.0,5.0,1.0,0.0,15.0,149.0,164.0,AER,SVO,2,108,1
1172,2018-01-05,0.0,0.0,0.0,31.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,48.0,1.0,0.0,15.0,0.0,40.0,1.0,0.0,4.0,0.0,0.0,3.0,145.0,148.0,SVO,ASF,2,59,1
1130,2018-01-06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,82.0,84.0,SVO,AER,0,1,0
1172,2018-01-06,0.0,0.0,0.0,16.0,0.0,19.0,0.0,10.0,0.0,18.0,0.0,31.0,0.0,0.0,9.0,0.0,21.0,3.0,0.0,3.0,0.0,0.0,10.0,120.0,130.0,SVO,ASF,1,88,1
1127,2018-01-06,0.0,7.0,0.0,1.0,0.0,23.0,0.0,7.0,28.0,46.0,2.0,12.0,2.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,3.0,0.0,16.0,131.0,147.0,AER,SVO,2,71,1
1139,2018-01-06,1.0,4.0,6.0,0.0,0.0,31.0,2.0,3.0,0.0,59.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,18.0,121.0,139.0,AER,SVO,1,75,1
